kind,frox_idx,en,ja
monster,386,Great white shark,大白鮫
monster,387,4-headed hydra,四首ヒドラ
monster,388,Lesser hell-beast,レッサー・ヘル=ビースト
monster,389,Tyrannosaurus,ティラノサウルス
monster,390,Mummified human,ミイラ
monster,391,Vampire bat,バンパイア・バット
monster,392,Sangahyando of Umbar,ウンバールの『サンガハイアンド』
monster,393,It,それ
monster,394,Banshee,バンシー
monster,395,Carrion crawler,キャリオン・クローラー
monster,396,Xiclotlan,ザイクロトル族
monster,397,Silent watcher,キリス・ウンゴルの番人
monster,398,Pukelman,プーケル人
monster,399,Disenchanter beast,劣化ビースト
monster,400,Dark elven druid,ダークエルフ・ドルイド僧
monster,401,Stone troll,岩トロル
monster,402,Black,黒
monster,403,Troll priest,トロル・プリースト
monster,404,Wereworm,大長虫
monster,405,Killer crimson beetle,キラー・クリムゾンビートル
monster,406,Vampiric ixitxachitl,吸血イクシツザチトル
monster,407,Gnoph-Keh,グノフ＝ケー
monster,408,Giant grey ant,巨大灰色アリ
monster,409,Kharis the Powerslave,力の亡者『カリス』
monster,410,Gwaihir the Windlord,風早彦『グワイヒア』
monster,411,Giant red tick,巨大赤ダニ
monster,412,Displacer beast,ディスプレイサー・ビースト
monster,413,"Ulwarth, Son of Ulfang",ウルファングの息子『ウルワルス』
monster,414,Agent of Benedict,ベネディクトの手下
monster,415,Cave ogre,洞窟オーガ
monster,416,White wraith,ホワイト・レイス
monster,417,Angel,天使
monster,418,Ghoul,食屍鬼
monster,419,Alberich the Nibelung King,ニーベルング族の王『アルベリヒ』
monster,420,Hellblade,ヘルブレード
monster,421,Killer red beetle,レッド・キラービートル
monster,422,Beast of Nurgle,<ナーグル>の妖獣
monster,423,Creeping adamantite coins,アダマンタイトのクリーピングコイン
monster,424,Algroth,アルグロス
monster,425,Flamer of Tzeentch,<ティーンチ>の火炎悪魔
monster,426,Roper,ローパー
monster,427,Headless,首なし
monster,428,Vibration hound,バイブレーション・ハウンド
monster,429,Nexus hound,ネクサス・ハウンド
monster,430,Ogre mage,オーガ・メイジ
monster,431,Grendel,『グレンデル』
monster,432,Vampire,バンパイア
monster,433,Gorgimera,ゴーゴンキメラ
monster,434,Shantak,シャンタク鳥
monster,435,Colbran,コルブラン
monster,436,Spirit naga,スピリット・ナーガ
monster,437,Corpser,コープサー
monster,438,Fiend of Slaanesh,<スラーネッシュ>の蠍悪魔
monster,439,Stairway to hell,地獄への階段
monster,440,5-headed hydra,五首ヒドラ
monster,441,Gachapin,『ガチャピン』
monster,442,Black knight,黒騎士
monster,443,Seahorse,タツノオトシゴ
monster,444,Cyclops,サイクロプス
monster,445,Clairvoyant,透視術者
monster,446,Giant purple worm,巨大紫イモムシ
monster,447,Catoblepas,カトブレパス
monster,448,Lesser wall monster,レッサー・ウォールモンスター
monster,449,Mage,メイジ
monster,450,Mind flayer,マインド・フレイヤー
monster,451,The Ultimate Dungeon Cleaner,『究極ダンジョン=クリーナー』
monster,452,Deep one,深き者
monster,453,Basilisk,バシリスク
monster,454,Ice troll,雪トロル
monster,455,Dhole,ドール
monster,456,Archangel,大天使
monster,457,Ring mimic,ミミック(指輪)
monster,458,Chaos tile,カオス・タイル
monster,459,Young blue dragon,ヤング・ブルー・ドラゴン
monster,460,Young white dragon,ヤング・ホワイト・ドラゴン
monster,461,Young green dragon,ヤング・グリーン・ドラゴン
monster,462,Young bronze dragon,ヤング・ブロンズ・ドラゴン
monster,463,Aklash,アクラシュ
monster,464,Mithril golem,ミスリル・ゴーレム
monster,465,Skeleton troll,スケルトン・トロル
monster,466,Skeletal tyrannosaurus,骸骨ティラノサウルス
monster,467,Jaws,『ジョーズ』
monster,468,Thorondor,大鷲王『ソロンドール』
monster,469,Giant blue ant,巨大青アリ
monster,470,Grave wight,墓ワイト
monster,471,Shadow drake,シャドウ・ドレイク
monster,472,Manticore,マンティコア
monster,473,Giant army ant,巨大軍隊アリ
monster,474,Killer slicer beetle,キラー・スライス・ビートル
monster,475,Gorgon,ゴーゴン
monster,476,Gug,ガグ
monster,477,Ghost,ゴースト
monster,478,Death watch beetle,死番虫
monster,479,Ogre shaman,オーガ・シャーマン
monster,480,Nexus quylthulg,ネクサス・クイルスルグ
monster,481,"Shelob, Spider of Darkness",闇の蜘蛛『シェロブ』
monster,482,Giant squid,巨大イカ
monster,483,Ghoulking,食屍鬼の王
monster,484,Doombat,ドゥームバット
monster,485,Ninja,ニンジャ
monster,486,Memory moss,記憶苔
monster,487,Storm giant,ストーム・ジャイアント
monster,488,Spectator,スペクテイター
monster,489,Bokrug,『ボクラグ』
monster,490,Biclops,バイクロプス
monster,491,Half-troll,ハーフトロル
monster,492,Ivory monk,白衣の修行僧
monster,493,Bert the Stone Troll,岩トロル『バート』
monster,494,Bill the Stone Troll,岩トロル『ビル』
monster,495,Tom the Stone Troll,岩トロル『トム』
monster,496,Cave troll,洞窟トロル
monster,497,Anti-paladin,反逆パラディン
monster,498,Logrus master,ログルス使い
monster,499,Barrow wight,塚ワイト
monster,500,Giant skeleton troll,ジャイアント・スケルトン・トロル
monster,501,Chaos drake,カオス・ドレイク
monster,502,Law drake,ロー・ドレイク
monster,503,Balance drake,バランス・ドレイク
monster,504,Ethereal drake,天上界ドレイク
monster,505,Ishikawa Goemon,『石川五右衛門』
monster,506,Fasolt the Giant,『巨人ファゾルト』
monster,507,Logrus ghost,ログルス・ゴースト
monster,508,Spectre,スペクター
monster,509,Water troll,水トロル
monster,510,Fire elemental,火のエレメンタル
monster,511,Cherub,智天使
monster,512,Water elemental,水のエレメンタル
monster,513,Multi-hued hound,万色ハウンド
monster,514,Night stalker,ナイトストーカー
monster,516,Master thief,大泥棒
monster,517,Jurt the Living Trump,人間トランプ『ジャート』
monster,518,Lich,リッチ
monster,519,Gas spore,ガス・スポア
monster,520,Master vampire,マスター・バンパイア
monster,521,Oriental vampire,東洋の吸血鬼
monster,522,Greater mummy,王のミイラ
monster,523,Bloodletter of Khorne,<コーン>の血戮悪魔
monster,524,Giant grey scorpion,巨大灰色サソリ
monster,525,Earth elemental,地のエレメンタル
monster,526,Air elemental,風のエレメンタル
monster,527,Doom drake,ドゥーム・ドレイク
monster,528,Gargoyle,ガーゴイル
monster,529,Malicious leprechaun,陰気なレプラコーン
monster,530,Eog golem,エオグ・ゴーレム
monster,531,"Sheer Heart Attack, the Bomb Hand",人々を爆死させてきた左手『シアーハートアタック』
monster,532,Dagashi,ダガシ
monster,533,Headless ghost,首なし幽霊
monster,535,Leng spider,レンの蜘蛛
monster,536,Star vampire,星の精
monster,537,Smoke elemental,煙のエレメンタル
monster,538,Olog,オログ
monster,539,Halfling slinger,スリング・ハーフリング
monster,540,Gravity hound,重力ハウンド
monster,541,Acidic cytoplasm,酸性細胞
monster,542,Inertia hound,遅鈍ハウンド
monster,543,Impact hound,インパクト・ハウンド
monster,544,Sea troll,海トロル
monster,545,Ooze elemental,汚物エレメンタル
monster,546,Young black dragon,ヤング・ブラック・ドラゴン
monster,548,Giant fire ant,巨大火アリ
monster,549,Mature white dragon,ホワイト・ドラゴン
monster,550,Xorn,ゾーン
monster,551,Rogrog the Black Troll,ブラック・トロル『ログログ』
monster,552,Mist giant,霧の巨人
monster,553,Pattern ghost,パターン・ゴースト
monster,554,Grey wraith,グレイ・レイス
monster,555,Revenant,レヴナント
monster,556,Young multi-hued dragon,ヤング万色ドラゴン
monster,557,Raal's Tome of Destruction,ラアルの破壊集大成
monster,558,Colossus,巨像
monster,559,Young gold dragon,ヤング・ゴールド・ドラゴン
monster,560,Mature blue dragon,ブルー・ドラゴン
monster,561,Mature green dragon,グリーン・ドラゴン
monster,562,Mature bronze dragon,ブロンズ・ドラゴン
monster,563,Young red dragon,ヤング・レッド・ドラゴン
monster,564,Nightblade,ナイトブレード
monster,565,Trapper,トラッパー
monster,566,Bodak,ボダック
monster,567,Time bomb,時限爆弾
monster,568,Mezzodaemon,メッツォデーモン
monster,569,Elder thing,古のもの
monster,570,Ice elemental,氷のエレメンタル
monster,571,Ipsissimus,イプシシマス
monster,572,The Greater Hell Magic Mushroom Were-Quylthulg,『グレーター地獄魔法おばけキノコ=クイルスルグ人間』
monster,573,Lord Borel of Hendrake,『ボレル公爵』
monster,574,Chaos spawn,混沌の落とし子
monster,575,Mummified troll,ミイラ・トロル
monster,576,Fire angel,炎の使者
monster,577,Crypt thing,窖の怪物
monster,578,Chaos butterfly,虹色の蝶人
monster,580,Flying polyp,盲目のもの
monster,581,The Queen Ant,『女王アリ』
monster,582,Will o' the wisp,ウィル・オー・ウィスプ
monster,583,Shan,シャン
monster,584,Magma elemental,マグマのエレメンタル
monster,585,Black pudding,ブラック・プリン
monster,586,Killer iridescent beetle,殺人タマムシ
monster,587,Nexus vortex,ネクサス・ボルテックス
monster,588,Plasma vortex,プラズマ・ボルテックス
monster,589,Mature red dragon,レッド・ドラゴン
monster,590,Mature gold dragon,ゴールド・ドラゴン
monster,591,Crystal drake,クリスタル・ドレイク
monster,592,Mature black dragon,ブラック・ドラゴン
monster,593,Mature multi-hued dragon,万色ドラゴン
monster,594,Sky whale,空飛ぶ鯨
monster,595,Father Dagon,父なる『ダゴン』
monster,596,Mother Hydra,母なる『ハイドラ』
monster,597,Death knight,死の騎士
monster,598,"Mandor, Master of the Logrus",ログルスの達人『マンドール』
monster,599,Time vortex,タイム・ボルテックス
monster,600,Shimmering vortex,発光ボルテックス
monster,601,Ancient blue dragon,古代ブルー・ドラゴン
monster,602,Ancient bronze dragon,古代ブロンズ・ドラゴン
monster,603,Beholder,ビホルダー
monster,604,Emperor wight,エンペラー・ワイト
monster,605,Seraph,熾天使
monster,606,"Loge, Spirit of Fire",炎の精『ローゲ』
monster,607,Black wraith,ブラック・レイス
monster,608,Nightgaunt,夜鬼
monster,609,Baron of hell,地獄の男爵
monster,610,Scylla,『スキュラ』
monster,611,Monastic lich,リッチの修行僧
monster,612,Nether wraith,冥界レイス
monster,613,Fire vampire,炎の精
monster,614,7-headed hydra,七首ヒドラ
monster,615,"Moire, Queen of Rebma",レブマの女王『モイア』
monster,617,Ancient white dragon,古代ホワイト・ドラゴン
monster,618,Ancient green dragon,古代グリーン・ドラゴン
monster,619,Chthonian,クトーニアン
monster,620,Eldrak,エルドラク
monster,621,Ettin,エティン
monster,622,Night mare,ナイトメア
monster,623,Vampire lord,バンパイア・ロード
monster,624,Ancient black dragon,古代ブラック・ドラゴン
monster,625,Weird fume,不可解な煙霧
monster,626,Spawn of Ubbo-Sathla,ウボ=サスラの落とし子
monster,627,Hammer of hell,地獄の鉄槌
monster,628,Malekith the Accursed,呪われし『マレキス』
monster,629,"Morgenstern, Julian's Steed",ジュリアンの乗馬『明の明星』
monster,630,Spirit troll,スピリット・トロル
monster,631,War troll,闘トロル
monster,632,Disenchanter worm mass,劣化イモムシの大群
monster,633,Rotting quylthulg,腐乱クイルスルグ
monster,634,Lesser titan,レッサー・タイタン
monster,635,9-headed hydra,九首ヒドラ
monster,636,Enchantress,エンチャントレス
monster,637,Archpriest,アーチプリースト
monster,638,Sorcerer,ソーサラー
monster,639,Xaren,ザレン
monster,640,Jubjub bird,邪舞邪舞鳥
monster,641,Minotaur,ミノタウロス
monster,642,"Jasra, Brand's Mistress",ブランドの情婦『ジャスラ』
monster,643,Death drake,デス・ドレイク
monster,644,Ancient red dragon,古代レッド・ドラゴン
monster,645,Ancient gold dragon,古代ゴールド・ドラゴン
monster,646,Great crystal drake,グレート・クリスタル・ドレイク
