kind,en,ja
gf,Psionics,超能力
gf,Psionic Drain,精神力吸収
gf,Ego Whip,精神の鞭
gf,Psycho-Storm,精神の嵐
gf,Domination,精神支配
gf,Subjugation,制圧
gf,Clone,クローン
gf,Polymorph,変身
gf,Heal,回復
gf,Haste,加速
gf,Sleep,睡眠
gf,Drain,生命力吸収
gf,Freeze,硬直
gf,Freeze Evil,邪悪硬直
gf,Stun,朦朧
gf,Eldritch Horror,狂気
gf,Anti-magic,反魔法
gf,Crusade,破邪
gf,Unholy Word,不浄の言葉
gf,Unlife,非生命
gf,Dark,暗黒
gf,Stone to Mud,岩石溶解
gf,Door Destruction,扉破壊
gf,Trap Destruction,罠破壊
gf,Remove Obstacle,障害物除去
gf,Door Creation,扉生成
gf,Trap Creation,罠生成
gf,Forest Creation,森林生成
gf,Glyph of Warding,守りのルーン
gf,Wall Creation,壁生成
gf,Wizard Lock,魔法の施錠
gf,Flow of Water,水流
gf,Flow of Lava,溶岩流
gf,Web Spinning,蜘蛛の巣張り
gf,Earthquake,地震
gf,Banish Undead,アンデッド消滅
gf,Banish Evil,邪悪消滅
gf,Banishment,追放
gf,Isolation,隔離
gf,Turn Undead,アンデッド恐慌
gf,Turn Evil,邪悪恐慌
gf,Turn Monsters,モンスター恐慌
gf,Dispel Undead,アンデッド退散
gf,Dispel Evil,邪悪退散
gf,Dispel Good,善良退散
gf,Dispel Demon,悪魔退散
gf,Dispel Living,生命退散
gf,Dispel Monsters,モンスター退散
gf,Enslave Undead,アンデッド従属
gf,Dominate Demon,悪魔支配
gf,Charm Animal,動物魅了
gf,Charm Living,生物魅了
gf,Control Pact Monster,契約モンスター支配
gf,Charm Monster,モンスター魅了
gf,Charm Ring Bearer,指輪所持者魅了
gf,Capture Monster,モンスター捕獲
gf,Raise Dead,死者復活
gf,Death Ray,死の光線
gf,Genocide,抹殺
gf,Photograph,写真撮影
gf,Attack,攻撃
gf,Moon Dazzling,円月殺法
gf,Seeker Ray,シーカーレイ
gf,Super Ray,スーパーレイ
gf,Blood,血
gf,Eldritch Stun,狂気の朦朧
gf,Eldritch Drain,狂気の吸収
gf,Eldritch Dispel,狂気の退散
gf,Eldritch Confuse,狂気の混乱
gf,Eldritch Howl,狂気の咆哮
gf,Entomb,埋葬
gf,Mana Clash,魔力衝突
gf,Pharaoh's Curse,ファラオの呪い
gf,Draining Touch,吸収の接触
gf,Touch of Death,死の接触
gf,Steal,窃盗
gf,Bomb,爆弾
gf,Air,大気
gf,Experience,経験値
summon,Monsters,モンスター
summon,Ants,アリ
summon,Spiders,蜘蛛
summon,Hounds,ハウンド
summon,Hydras,ヒドラ
summon,Angels,天使
summon,Demons,デーモン
summon,Undead,アンデッド
summon,Dragons,ドラゴン
summon,Mighty Undead,上級アンデッド
summon,Ancient Dragons,古代ドラゴン
summon,Foul Demons,上級デーモン
summon,Amberites,アンバーの王族
summon,Uniques,ユニークモンスター
summon,Mold,モルド
summon,Bats,コウモリ
summon,Quylthulgs,クイルスルグ
summon,Vortices,ボルテックス
summon,Creeping Coins,クリーピングコイン
summon,Mimics,ミミック
summon,Cyberdemons,サイバーデーモン
summon,Kin,仲間
summon,Warriors of the Dawn,暁の戦士
summon,Animals,動物
summon,Phantom Beasts,幽体獣
summon,Blue Horrors,ブルー・ホラー
summon,Life,生命
summon,Golems,ゴーレム
summon,Elementals,エレメンタル
summon,Abominations,忌まわしきもの
summon,Birds,鳥
summon,Fanatics,狂信者
summon,Manes,古代の死霊
summon,Lice,シラミ
summon,Dungeon Guardians,ダンジョンの守護者
summon,Knights,騎士
summon,Eagles,鷲
summon,Piranhas,ピラニア
summon,Holy Monsters,聖なるモンスター
summon,Foul Monsters,邪悪なモンスター
summon,Software Bugs,ソフトウェア・バグ
summon,Gods,神
summon,Rats,ネズミ
summon,Wolves,狼
summon,Dread,ドリード
summon,Zombies,ゾンビ
summon,Skeletons,スケルトン
summon,Ghosts,ゴースト
summon,Vampires,バンパイア
summon,Wights,ワイト
summon,Liches,リッチ
summon,Kraken,クラーケン
summon,Thieves,盗賊
summon,Ents,エント
summon,Camelot Knights,キャメロットの騎士
summon,Nightmares,ナイトメア
summon,Yeeks,イーク
summon,Orcs,オーク
summon,Dark Elves,ダークエルフ
summon,Giants,巨人
summon,Undead Summoners,アンデッドの召喚者
summon,Mature Dragons,中級ドラゴン
summon,Dragon Summoners,ドラゴンの召喚者
summon,Clubber Demons,撲殺の悪魔
summon,Balrogs,バルログ
summon,Demon Summoners,デーモンの召喚者
summon,Ultimate,究極
summon,Human,人間
summon,Horses,馬
summon,Magical Monsters,魔法生物
summon,Trolls,トロル
summon,Good Monsters,善良なモンスター
summon,Evil Monsters,邪悪なモンスター
summon,Ring Bearers,指輪所持者
summon,Archers,アーチャー
summon,Monks,修行僧
summon,Mages,メイジ
summon,Special,特別
summon,Reptiles,爬虫類
summon,Dead Uniques,撃破したユニークモンスター
summon,Cats,猫
summon,Vanaras,ヴァナラ
summon,Serpents,蛇
summon,Nagas,ナーガ
#
# device … devices.c の効果の名（226 本。うち 34 本は上の表と同じ名なので、
#          ここには書かない）。**訳は 20 バイトまで**——py_info.c:1738 が
#          `%-20.20s` の欄に並べる（設計 §8.45）。
device,Nothing,何も起きない
device,Illumination,イルミネーション
device,Magic Mapping and Illumination,魔法の地図と照明
device,Enlightenment,啓蒙
device,Detection,全感知
device,Detect Treasure,財宝感知
device,Detect Invisible,透明感知
device,Detect Doors & Stairs,扉と階段の感知
device,Phase Door,ショート・テレポート
device,Teleport Other,テレポート・アウェイ
device,Strafing,近距離テレポート
device,Dimension Door,次元の扉
device,Getaway,逃走
device,Recall,帰還
device,Destruction,破壊
device,Mass Genocide,周辺抹殺
device,Recharging,魔力充填
device,*Recharging*,*魔力充填*
device,Enchantment,強化
device,*Identify*,*鑑定*
device,Probing,調査
device,Explosive Rune,爆発のルーン
device,Rune of Protection,守りのルーン
device,Satisfy Hunger,空腹充足
device,Trap and Door Destruction,周囲の罠と扉の破壊
device,Unbarring Ways,罠と扉を壊す光線
device,Whirlwind Attack,カマイタチ
device,List Uniques,ユニーク一覧
device,List Artifacts,アーティファクト一覧
device,Banish,モンスター追放
device,Telekinesis,テレキネシス
device,Alchemy,錬金術
device,Self Knowledge,自己認識
device,Annihilation,モンスター消滅
device,Stone Skin,石の肌
device,Resist Acid,酸への耐性
device,Resist Lightning,電撃への耐性
device,Resist Fire,火炎への耐性
device,Resist Cold,冷気への耐性
device,Resist Poison,毒への耐性
device,Resistance,全耐性
device,Protection from Evil,対邪悪結界
device,Healing and Magic Resistance,回復と魔法防御
device,Holy Prayer,聖なる祈り
device,Speed,加速
device,Heroic Speed,士気高揚と加速
device,Heroic Song,英雄の歌
device,Light Speed,光速移動
device,Enlarge Weapon,武器の巨大化
device,Telepathy,テレパシー
device,Wraithform,幽体化
device,Globe of Invulnerability,無傷の球
device,Summon Monsters,モンスター召喚
device,Summon Hounds,ハウンド召喚
device,Summon Ants,アリ召喚
device,Summon Hydras,ヒドラ召喚
device,Summon Octopus,タコ召喚
device,Summon Legion of the Dawn,暁の戦士団召喚
device,Summon Phantasmal Servant,幻霊召喚
device,Summon Elemental,エレメンタル召喚
device,Summon Dragon,ドラゴン召喚
device,Summon Undead,アンデッド召喚
device,Summon Demon,デーモン召喚
device,Summon Cyberdemon,サイバーデーモン召喚
device,Summon Angel,天使召喚
device,Summon Kraken,クラーケン召喚
device,Return Pets,ペット呼び戻し
device,Capture Pet,ペット捕獲
device,Restore Stats,能力値復活
device,Restore Life,生命力復活
device,Restoring,全復活
device,Curing,治癒
device,Cure Wounds,傷の治癒
device,Healing,体力回復
device,Angelic Healing,天使の癒し
device,Restore Mana,魔力復活
device,Cure Poison,毒の治癒
device,Boldness,勇気
device,Cure Fear and Poison,恐怖と毒の治癒
device,Remove Curse,解呪
device,*Remove Curse*,*解呪*
device,Clarity,魔力回復
device,Great Clarity,大魔力回復
device,Acid Bolt,アシッド・ボルト
device,Lightning Bolt,サンダー・ボルト
device,Fire Bolt,ファイア・ボルト
device,Frost Bolt,アイス・ボルト
device,Poison Dart,毒のダート
device,Light Bolt,閃光の矢
device,Dark Bolt,暗黒の矢
device,Confusion Bolt,混乱の矢
device,Nether Bolt,地獄の矢
device,Nexus Bolt,因果混乱の矢
device,Sound Bolt,轟音の矢
device,Shard Bolt,破片の矢
device,Chaos Bolt,カオス・ボルト
device,Disenchantment Bolt,劣化の矢
device,Time Bolt,時間逆転の矢
device,Water Bolt,ウォーター・ボルト
device,Mana Bolt,魔力の矢
device,Ice Bolt,極寒の矢
device,Plasma Bolt,プラズマ・ボルト
device,Moonbeam,月光のビーム
device,Beam of Light,閃光のビーム
device,Beam of Gravity,重力のビーム
device,Beam of Disintegration,分解のビーム
device,Shoot Acid,酸を飛ばす
device,Lightning Strike,落雷
device,Line of Fire,火炎のビーム
device,Ray of Cold,冷気の光線
device,Sound Strike,轟音のビーム
device,Chaos Strike,カオスのビーム
device,Acid Ball,アシッド・ボール
device,Lightning Ball,サンダー・ボール
device,Fire Ball,ファイア・ボール
device,Frost Ball,アイス・ボール
device,Star Burst,スター・バースト
device,Confusion Ball,混乱の球
device,Nether Ball,地獄の球
device,Nexus Ball,因果混乱の球
device,Sound Ball,轟音の球
device,Shard Ball,破片の球
device,Disenchantment Ball,劣化の球
device,Time Ball,時間逆転の球
device,Mana Ball,魔力の球
device,Disintegrate,分解の球
device,Breathe Acid,酸のブレス
device,Breathe Lightning,電撃のブレス
device,Dragon's Flame,ドラゴンの炎
device,Dragon's Frost,ドラゴンの冷気
device,Breathe Poison,毒のブレス
device,Breathe Light,閃光のブレス
device,Breathe Darkness,暗黒のブレス
device,Breathe Confusion,混乱のブレス
device,Breathe Nether,地獄のブレス
device,Breathe Nexus,因果混乱のブレス
device,Breathe Sound,轟音のブレス
device,Breathe Shards,破片のブレス
device,Breathe Chaos,カオスのブレス
device,Breathe Disenchantment,劣化のブレス
device,Breathe Inertia,遅鈍のブレス
device,Tsunami,津波
device,Breathe Time,時間逆転のブレス
device,Dragon's Breath,ドラゴンのブレス
device,Breathe Elements,元素のブレス
device,Dispel Life,生命退散
device,Dispel Demons,悪魔退散
device,Vampirism,吸血
device,Star Ball,多重電撃球
device,Wrath of the God,神の怒り
device,Confusing Lights,幻惑の光
device,Magic Arrow,魔法の矢
device,Holiness,聖なる力
device,Pesticide,殺虫剤
device,Terrify Monsters,周辺モンスター恐慌
device,Sleep Monsters,周辺モンスター睡眠
device,Slow Monsters,周辺モンスター減速
device,Freeze Monsters,モンスター硬直
device,Hypnotize,催眠
device,Confuse Monsters,周辺モンスター混乱
device,Fishing,釣り
device,Charge,突撃
device,Piercing Shot,貫通射撃
device,Endless Quiver,矢筒の補充
device,Wall Building,石の壁の生成
device,Sleep Monster,モンスター睡眠
device,Slow Monster,モンスター減速
device,Confuse Monster,モンスター混乱
device,Scare Monster,モンスター恐慌
device,Starlight,星の光
device,Aggravate Monsters,モンスター覚醒
device,Heal Monster,モンスター回復
device,Haste Monster,モンスター加速
device,Haste Monsters,周辺モンスター加速
device,Clone Monster,モンスター複製
device,Summoning,敵の召喚
device,Slowness,減速
device,Clairvoyance and Recall,千里眼と帰還
device,Haste and Dimension Door,加速と次元の扉
device,Create Arrows,矢の製造
device,Flame of Demeter,デメテルの炎
device,Eye of Vecna,ヴェクナの目
device,"Heroism, Resistance and Breathe Elements",士気・耐性・ブレス
device,Reveal Identity,正体を明かす
device,Change Zokusei,属性変更
device,Dispel Curse and Probing,*解呪*と調査
device,Bang a Gong,銅鑼を鳴らす
device,Gain Strength,腕力の上昇
device,Change Sex,性別変更
device,Stunning Stomp,朦朧の踏みつけ
device,Mighty Arrow,強力な矢
device,Unfocus Rage,怒りを解く
#
# realm … do_spell(…, SPELL_NAME) が返す**魔法領域の呪文の名**（17 領域 469 本。
#         うち 115 本は上の表と同じ名なので、ここには書かない）。**訳は 20 バイトまで**
#         ——graymage.c:68 と skillmaster.c:979 が `%-20.20s` の欄に並べる（設計 §8.50）。
#         出どころは do-spell.c（13 領域）＋ lawyer.c・samurai.c・necromancer.c・rogue.c。
#         並びは領域の出た順（life → sorcery → … → burglary）。
realm,Cure Light Wounds,軽傷の治癒
realm,Regeneration,回復力強化
realm,Call Light,光の召喚
realm,Detect Doors & Traps,罠 & 隠し扉感知
realm,Cure Medium Wounds,重傷の治癒
realm,Fasting,断食
realm,Cure Critical Wounds,致命傷の治癒
realm,Resist Heat and Cold,耐熱耐寒
realm,Sense Surroundings,周辺感知
realm,Dispel Curse,*解呪*
realm,Perception,鑑識
realm,Sustaining,能力維持
realm,Cure Mutation,突然変異治癒
realm,Word of Recall,帰還の詔
realm,Transcendence,超越
realm,Warding True,真・結界
realm,Sterilization,不毛化
realm,Annihilate Undead,アンデッド消滅
realm,Restoration,全復活
realm,Healing True,*体力回復*
realm,Holy Vision,聖なるビジョン
realm,Ultimate Resistance,究極の耐性
realm,Detect Doors and Traps,罠と扉感知
realm,Light Area,ライト・エリア
realm,Magic Mapping,魔法の地図
realm,Mass Sleep,周辺スリープ
realm,Mass Stasis,モンスター全停止
realm,Detection True,真・感知
realm,Identify True,真・鑑定
realm,Mass Identify,一括鑑定
realm,Inventory Resistance,持ち物保護
realm,Stair Creation,階段生成
realm,Sense Minds,精神感知
realm,Teleport to Town,街移動
realm,Device Mastery,魔道具強化
realm,Detect Creatures,モンスター感知
realm,Produce Food,食糧生成
realm,Daylight,日の光
realm,Wind Walker,風の歩み
realm,Resist Environment,環境への耐性
realm,Cure Wounds & Poison,傷と毒治療
realm,Nature Awareness,自然の覚醒
realm,Ray of Sunlight,太陽光線
realm,Entangle,足かせ
realm,Nature's Gate,自然の門
realm,Herbal Healing,薬草治療
realm,Stair Building,階段生成
realm,Resistance True,真・耐性
realm,Stone Tell,試金石
realm,Wall of Stone,石の壁
realm,Protect from Corrosion,腐食防止
realm,Call Sunlight,陽光召喚
realm,Fire Storm,炎の嵐
realm,Blizzard,ブリザード
realm,Lightning Storm,稲妻嵐
realm,Gravity Storm,重力の嵐
realm,Nature's Wrath,自然の脅威
realm,Trap / Door Destruction,トラップ/ドア破壊
realm,Flash of Light,閃光
realm,Touch of Confusion,混乱の手
realm,Mana Burst,魔力炸裂
realm,Fist of Force,力の拳
realm,Teleport Self,テレポート
realm,Wonder,ワンダー
realm,Sonic Boom,ソニック・ブーム
realm,Doom Bolt,破滅の矢
realm,Word of Destruction,破壊の言葉
realm,Chain Lightning,連鎖稲妻
realm,Arcane Binding,魔力封入
realm,Alter Reality,真実の祭壇
realm,Magic Rocket,マジック・ロケット
realm,Chaos Branding,混沌の刃
realm,Meteor Swarm,流星群
realm,Flame Strike,焔の一撃
realm,Call Chaos,混沌召来
realm,Polymorph Self,自己変容
realm,Breathe Logrus,ログルスのブレス
realm,Call the Void,虚無召来
realm,Detect Unlife,無生命感知
realm,Malediction,呪殺弾
realm,Black Sleep,黒い眠り
realm,Undead Resistance,アンデッド耐性
realm,Horrify,恐慌
realm,Orb of Entropy,エントロピーの球
realm,Cloud Kill,殺戮雲
realm,Genocide One,モンスター消滅
realm,Poison Branding,毒の刃
realm,Vampiric Drain,吸血ドレイン
realm,Invoke Spirits,悪霊召喚
realm,Battle Frenzy,狂乱戦士
realm,Vampiric Branding,吸血の刃
realm,Vampirism True,真・吸血
realm,Nether Wave,死の言魂
realm,Raise the Dead,死者召喚
realm,Esoteria,秘伝
realm,Polymorph Vampire,吸血鬼変化
realm,Nether Storm,地獄嵐
realm,Trump Spiders,蜘蛛のカード
realm,Shuffle,シャッフル
realm,Reset Recall,フロア・リセット
realm,Trump Spying,感知のカード
realm,Trump Animals,動物のカード
realm,Trump Reach,移動のカード
realm,Trump Kamikaze,カミカゼのカード
realm,Phantasmal Servant,幻霊召喚
realm,Swap Position,位置交換のカード
realm,Trump Undead,アンデッドのカード
realm,Trump Reptiles,爬虫類のカード
realm,Trump Monsters,モンスターのカード
realm,Trump Hounds,ハウンドのカード
realm,Trump Branding,トランプの刃
realm,Living Trump,人間トランプ
realm,Trump Cyberdemon,サイバーのカード
realm,Trump Divination,予見のカード
realm,Trump Lore,知識のカード
realm,Trump Dragon,ドラゴンのカード
realm,Trump Meteor,隕石のカード
realm,Trump Demon,デーモンのカード
realm,Trump Greater Undead,地獄のカード
realm,Trump Ancient Dragon,古代ドラゴンのカード
realm,Zap,電撃
realm,Detect Invisibility,透明体感知
realm,Trap & Door Destruction,罠と扉 破壊
realm,Phlogiston,燃素
realm,Detect Enchantment,魔法 感知
realm,Ray of Light,閃光
realm,See Invisible,透明視認
realm,Minor Enchantment,簡易強化
realm,See Invisibility,透明視認
realm,Elemental Branding,精霊の刃
realm,Polish Shield,盾磨き
realm,Weaponmastery,武器熟達
realm,Magical Armor,魔法の鎧
realm,Remove All Curse,呪い粉砕
realm,Simplification,単純化
realm,Knowledge True,完全なる知識
realm,Crafting,銘器作成
realm,Immunity,属性への免疫
realm,Mana Branding,魔法剣
realm,Evil Bless,邪なる祝福
realm,Summon Manes,古代の死霊召喚
realm,Hellish Flame,地獄の焔
realm,Vision,ビジョン
realm,Resist Nether,耐地獄
realm,Fire Branding,炎の刃
realm,Devilish Eye,悪魔の目
realm,Devilish Cloak,悪魔のクローク
realm,The Flow of Lava,溶岩流
realm,Plasma Ball,プラズマ球
realm,Polymorph Demon,悪魔変化
realm,Kiss of Succubus,サキュバスの接吻
realm,Doom Hand,破滅の手
realm,Raise the Morale,士気高揚
realm,Immortal Body,不滅の肉体
realm,Insanity Circle,狂気の円環
realm,Explode Pets,ペット爆破
realm,Summon Greater Demon,上級デーモン召喚
realm,Hellfire,地獄の劫火
realm,Send to Hell,地獄送り
realm,Polymorph Demonlord,魔王変化
realm,Punishment,懲罰
realm,Remove Fear,恐怖除去
realm,Sanctuary,聖域
realm,Portal,入口
realm,Star Dust,スターダスト
realm,Purify,身体浄化
realm,Scatter Evil,邪悪飛ばし
realm,Holy Orb,聖なる光球
realm,Exorcism,悪魔祓い
realm,Sense Unseen,透明体視認
realm,Judgment Thunder,裁きの雷
realm,Holy Word,聖なる御言葉
realm,Arrest,捕縛
realm,Angelic Cloak,天使のクローク
realm,Dispel Undead & Demons,アンデッド・悪魔退散
realm,Holy Blade,聖なる刃
realm,Armageddon,ハルマゲドン
realm,An Eye for an Eye,目には目を
realm,Divine Intervention,神威
realm,Song of Holding,遅鈍の歌
realm,Song of Blessing,祝福の歌
realm,Wrecking Note,崩壊の音色
realm,Stun Pattern,朦朧の旋律
realm,Flow of Life,生命の流れ
realm,Song of the Sun,太陽の歌
realm,Song of Fear,恐怖の歌
realm,Heroic Ballad,戦いの歌
realm,Clairaudience,霊的知覚
realm,Soul Shriek,魂の歌
realm,Song of Lore,知識の歌
realm,Hiding Tune,隠遁の歌
realm,Illusion Pattern,幻影の旋律
realm,Doomcall,破滅の叫び
realm,Firiel's Song,フィリエルの歌
realm,Fellowship Chant,旅の仲間
realm,Sound of disintegration,分解の旋律
realm,Finrod's Resistance,フィンロドの護り
realm,Hobbit Melodies,ホビットのメロディ
realm,World Contortion,歪んだ世界
realm,Dispelling chant,退散の歌
realm,The Voice of Saruman,サルマンの甘言
realm,Song of the Tempest,嵐の音色
realm,Ambarkanta,もう一つの世界
realm,Wrecking Pattern,破壊の旋律
realm,Stationary Shriek,停滞の歌
realm,Endurance,守りの歌
realm,The Hero's Poem,英雄の詩
realm,Relief of Yavanna,ヤヴァンナの助け
realm,Goddess' rebirth,再生の歌
realm,Wizardry of Sauron,サウロンの魔術
realm,Fingolfin's Challenge,フィンゴルフィンの詩
realm,Evily blessing,邪なる祝福
realm,Cure light wounds,軽傷の治癒
realm,Demonic aura,悪魔のオーラ
realm,Stinking mist,悪臭霧
realm,Extra might,腕力強化
realm,Curse weapon,武器呪縛
realm,Evil detection,邪悪感知
realm,Patience,我慢
realm,Ice armor,氷の鎧
realm,Cure serious wounds,重傷の治癒
realm,Inhail potion,薬品吸入
realm,Vampiric mist,吸血の霧
realm,Swords to runeswords,魔剣化
realm,Touch of confusion,混乱の手
realm,Building up,肉体強化
realm,Anti teleport barrier,反テレポート結界
realm,Cloak of shock,衝撃のクローク
realm,Cure critical wounds,致命傷の治癒
realm,Curse armor,防具呪縛
realm,Cloak of shadow,影のクローク
realm,Pains to mana,苦痛を魔力に
realm,Eye for an eye,目には目を
realm,Anti multiply barrier,反増殖結界
realm,Restore life,経験値復活
realm,Drain curse power,呪力吸収
realm,Swords to vampires,吸血の刃
realm,Word of stun,朦朧の言葉
realm,Moving into shadow,影移動
realm,Anti magic barrier,反魔法結界
realm,Revenge sentence,復讐の宣告
realm,Gravity Bolt,重力の矢
realm,Thunderclap,大音響
realm,Windblast,烈風
realm,Hellstorm,業火の嵐
realm,Water Ball,ウォーター・ボール
realm,Breathe Frost,冷気のブレス
realm,Breathe Fire,炎のブレス
realm,Breathe Plasma,プラズマのブレス
realm,Breathe Gravity,重力のブレス
realm,Breathe Disintegration,分解のブレス
realm,Breathe Mana,魔力のブレス
realm,Detect Money,金銭感知
realm,Basic Trap,基本の罠
realm,Disarm Traps,罠解除
realm,Dig,掘削
realm,Semicolon of Punishment,処罰のセミコロン
realm,Confuse Everybody,全員混乱
realm,Create Doors,扉作成
realm,Semicolon of Warding,守りのセミコロン
realm,Expert Trap,熟練の罠
realm,Blame Undead,アンデッド糾弾
realm,Probe,調査
realm,Spin,言い逃れ
realm,Advanced Bloodsucking,上級吸血
realm,Tread Softly,忍び足
realm,Map Surroundings,周辺の地図
realm,Dig Deep,深掘り
realm,Unholy Rage,不浄なる激昂
realm,Subpoena,召喚令状
realm,Dazzle,目くらまし
realm,Tobi-Izuna,飛飯綱
realm,3-Way Attack,五月雨斬り
realm,Boomerang,ブーメラン
realm,Burning Strike,焔霊
realm,Detect Ferocity,殺気感知
realm,Strike to Stun,みね打ち
realm,Counter,カウンター
realm,Harainuke,払い抜け
realm,Serpent's Tongue,サーペンツタン
realm,Zammaken,斬魔剣弐の太刀
realm,Wind Blast,裂風剣
realm,Judge,刀匠の目利き
realm,Rock Smash,破岩斬
realm,Midare-Setsugekka,乱れ雪月花
realm,Spot Aiming,急所突き
realm,Majingiri,魔神斬り
realm,Desperate Attack,捨て身
realm,Lightning Eagle,雷撃鷲爪斬
realm,Rush Attack,入身
realm,Bloody Maelstrom,赤流渦
realm,Earthquake Blow,激震撃
realm,Crack,地走り
realm,War Cry,気迫の雄叫び
realm,Musou-Sandan,無双三段
realm,Vampire's Fang,吸血鬼の牙
realm,Hundred Slaughter,百人斬り
realm,Dragonic Flash,天翔龍閃
realm,Twin Slash,二重の剣撃
realm,Kofuku-Zettousei,虎伏絶刀勢
realm,Keiun-Kininken,慶雲鬼忍剣
realm,Harakiri,切腹
realm,Cold Touch,冷気の手
realm,Summon Rat,ネズミ召喚
realm,Detect Life,生命感知
realm,Poison Touch,毒の手
realm,Summon Bats,コウモリ召喚
realm,Black Touch,暗黒の手
realm,Summon Wolves,狼召喚
realm,Black Cloak,暗黒のクローク
realm,Undead Sight,死者の視界
realm,Undead Lore,死者の知識
realm,Repelling Touch,反発の手
realm,Vampiric Touch,吸血の手
realm,Dread of Night,夜の恐怖
realm,Summon Zombies,ゾンビ召喚
realm,Summon Skeletons,スケルトン召喚
realm,Summon Ghosts,ゴースト召喚
realm,Summon Vampires,吸血鬼召喚
realm,Summon Wraiths,レイス召喚
realm,Summon Liches,リッチ召喚
realm,Lost Cause,捨て身の一撃
realm,Unhallow Ground,不浄なる地
realm,Shield of the Dead,死者の盾
realm,Rending Touch,分解の手
realm,Repose of the Dead,死者の安息
realm,Sepulchral Wind,墓場の風
realm,Deadly Touch,死の手
realm,Necromancy,死霊術
realm,See in the Dark,暗視
realm,Minor Getaway,小逃走
realm,Set Minor Trap,弱い罠設置
realm,Map Escape Route,逃走路の地図
realm,Pick Pocket,すり
realm,Negotiate,交渉
realm,Fetch Object,アイテム引き寄せ
realm,Eye for Danger,危険察知
realm,Examine Loot,戦利品の鑑定
realm,Set Major Trap,強い罠設置
realm,Make Haste,急ぎ足
realm,Create Stairs,階段作成
realm,Panic Hit,一撃離脱
